date,ratio
2017-01-01,39.4
2017-01-08,23.9
2017-01-15,17
2017-01-22,12.5
2017-01-29,9.9
2017-02-05,9
2017-02-12,7.1
2017-02-19,6.7
2017-02-26,6.1
2017-03-05,7
2017-03-12,9.3
2017-03-19,13.2
2017-03-26,13.7
2017-04-02,16.7
2017-04-09,15.8
2017-04-16,14.5
2017-04-23,13.3
2017-04-30,9.5
2017-05-07,6.8
2017-05-14,7.6
2017-05-21,6.7
2017-05-28,4.9
2017-06-04,5.1
2017-06-11,5.6
2017-06-18,5.7
2017-06-25,5.3
2017-07-02,5.8
2017-07-09,6.2
2017-07-16,6.3
2017-07-23,4.3
2017-07-30,4.5
2017-08-06,4.4
2017-08-13,3.8
2017-08-20,5.2
2017-08-27,4.8
2017-09-03,4.9
2017-09-10,5.1
2017-09-17,5.1
2017-09-24,4.7
2017-10-01,3.1
2017-10-08,3.8
2017-10-15,4.2
2017-10-22,4.1
2017-10-29,5.2
2017-11-05,5.3
2017-11-12,6.3
2017-11-19,7.7
2017-11-26,11.4
2017-12-03,19
2017-12-10,30.6
2017-12-17,53.6
2017-12-24,71.8
2017-12-31,72.1
2018-01-07,69
2018-01-14,59.6
2018-01-21,43.6
2018-01-28,35.3
2018-02-04,31.7
2018-02-11,30.7
2018-02-18,18.8
2018-02-25,15.1
2018-03-04,11.7
2018-03-11,9.8
2018-03-18,8
2018-03-25,7.2
2018-04-01,6.2
2018-04-08,6.8
2018-04-15,5.8
2018-04-22,7.6
2018-04-29,6.2
2018-05-06,6.1
2018-05-13,6
2018-05-20,5.6
2018-05-27,5.6
2018-06-03,5.1
2018-06-10,4.6
2018-06-17,4.3
2018-06-24,4.1
2018-07-01,4.5
2018-07-08,4.2
2018-07-15,5.2
2018-07-22,4.5
2018-07-29,4.5
2018-08-05,2.7
2018-08-12,3.2
2018-08-19,4
2018-08-26,3.7
2018-09-02,4
2018-09-09,4.3
2018-09-16,4.4
2018-09-23,3.9
2018-09-30,3.5
2018-10-07,3.7
2018-10-14,3.8
2018-10-21,4.9
2018-10-28,5.7
2018-11-04,7.8
2018-11-11,10.1
2018-11-18,13.2
2018-11-25,19.2
2018-12-02,34
2018-12-09,48.7
2018-12-16,71.9
2018-12-23,73.3
2018-12-30,53.1
2019-01-06,33.6
2019-01-13,23
2019-01-20,15.3
2019-01-27,11.3
2019-02-03,10.2
2019-02-10,8
2019-02-17,8.6
2019-02-24,8.3
2019-03-03,9.1
2019-03-10,12.1
2019-03-17,20.3
2019-03-24,27.2
2019-03-31,32.2
2019-04-07,42.1
2019-04-14,44.2
2019-04-21,37.3
2019-04-28,23.9
2019-05-05,15.1
2019-05-12,11.3
2019-05-19,7
2019-05-26,5.5
2019-06-02,5.1
2019-06-09,4.7
2019-06-16,4.4
2019-06-23,4.1
2019-06-30,4.7
2019-07-07,4.1
2019-07-14,4.4
2019-07-21,4.3
2019-07-28,4
2019-08-04,3.3
2019-08-11,2.9
2019-08-18,3.3
2019-08-25,3.5
2019-09-01,3.4
2019-09-08,3.6
2019-09-15,3.7
2019-09-22,3.8
2019-09-29,3.9
2019-10-06,4.2
2019-10-13,4.6
2019-10-20,4.5
2019-10-27,5.8
2019-11-03,7
2019-11-10,8.2
2019-11-17,9.7
2019-11-24,12.7
2019-12-01,19.5
2019-12-08,28.5
2019-12-15,37.8
2019-12-22,49.8
2019-12-29,49.1
2020-01-05,47.8
2020-01-12,42.4
2020-01-19,40.9
2020-01-26,28
2020-02-02,16.4
2020-02-09,11.6
2020-02-16,8.5
2020-02-23,6.3
2020-03-01,3.9
2020-03-08,2.9
2020-03-15,3.2
2020-03-22,2.8
2020-03-29,2.5
2020-04-05,2.7
2020-04-12,2.3
2020-04-19,2.4
2020-04-26,1.7
2020-05-03,2.1
2020-05-10,2.3
2020-05-17,2.2
2020-05-24,2.4
2020-05-31,2.4
2020-06-07,2
2020-06-14,2
2020-06-21,1.7
2020-06-28,1.8
2020-07-05,1.9
2020-07-12,1.8
2020-07-19,2.3
2020-07-26,1.8
2020-08-02,2.1
2020-08-09,1.8
2020-08-16,2.1
2020-08-23,2
2020-08-30,1.7
2020-09-06,1.4
2020-09-13,1.5
2020-09-20,1.3
2020-09-27,1.4
2020-10-04,1.2
2020-10-11,1.2
2020-10-18,1.7
2020-10-25,1.9
2020-11-01,3.1
2020-11-08,3.3
2020-11-15,3.2
2020-11-22,2.6
2020-11-29,2.8
2020-12-06,2.8
2020-12-13,2.8
2020-12-20,2.5
2020-12-27,2.4
2021-01-03,2.4
2021-01-10,2.6
2021-01-17,2.3
2021-01-24,1.9
2021-01-31,1.9
2021-02-07,1.9
2021-02-14,2
2021-02-21,1.2
2021-02-28,1.9
2021-03-07,2.2
2021-03-14,2
2021-03-21,2.2
2021-03-28,2.5
2021-04-04,2.3
2021-04-11,2.3
2021-04-18,2
2021-04-25,1.8
2021-05-02,2.1
2021-05-09,2.3
2021-05-16,1.7
2021-05-23,1.8
2021-05-30,1.9
